  2   0.200  -0.054   0.026  -0.004  89.0  89.0  90.0  67.0  65.0  66.0   0.060  295.71 0 0 0 0 0 0
  3   0.250  -0.062   0.026  -0.003  88.0  86.0  90.0  71.0  64.0  66.0   0.067  292.75 0 0 0 0 0 0
  4   0.300  -0.071   0.026  -0.004  87.0  84.0  88.0  71.0  66.0  69.0   0.076  290.11 0 0 0 0 0 0
  5   0.350  -0.076   0.030  -0.004  83.0  83.0  85.0  69.0  67.0  68.0   0.082  291.54 0 0 0 0 0 0
  6   0.400  -0.082   0.026  -0.004  81.0  81.0  82.0  70.0  66.0  69.0   0.086  287.59 0 0 0 0 0 0
  7   0.450  -0.087   0.030  -0.002  79.0  79.0  81.0  70.0  69.0  71.0   0.092  289.03 0 0 0 0 0 0
  8   0.500  -0.092   0.031  -0.001  78.0  80.0  82.0  70.0  69.0  71.0   0.097  288.62 0 0 0 0 0 0
  9   0.550  -0.097   0.034   0.000  77.0  80.0  80.0  71.0  71.0  71.0   0.103  289.32 0 0 0 0 0 0
 10   0.600  -0.098   0.031   0.002  75.0  79.0  81.0  72.0  68.0  71.0   0.103  287.55 0 0 0 0 0 0
 11   0.650  -0.096   0.032   0.003  75.0  80.0  80.0  75.0  67.0  68.0   0.101  288.43 0 0 0 0 0 0
 12   0.700  -0.098   0.031   0.002  76.0  80.0  77.0  75.0  67.0  64.0   0.103  287.55 0 0 0 0 0 0
 13   0.750  -0.095   0.032   0.003  76.0  80.0  78.0  72.0  62.0  59.0   0.100  288.62 0 0 0 0 0 0
 14   0.800  -0.098   0.034   0.002  77.0  78.0  78.0  69.0  54.0  54.0   0.104  289.13 0 0 0 0 0 0
 15   0.850  -0.095   0.036   0.004  76.0  79.0  77.0  65.0  39.0  40.0   0.102  290.75 0 0 0 0 0 0
 16   0.900  -0.097   0.045   0.003  76.0  79.0  76.0  53.0  20.0  28.0   0.107  294.89 0 0 0 0 0 0
02 10 2023 12 10 00.000     1   260 00000000 01110000  11.6 1546.2 285.6  -3.2  -0.4   1.135  30.32     0     0 3  16
  1   0.150  -0.039  -0.014  -0.004  95.0  97.0  99.0  61.0  61.0  66.0   0.041  250.25 0 0 0 0 0 0
  2   0.200  -0.042  -0.008  -0.005  92.0  94.0  95.0  69.0  59.0  65.0   0.043  259.22 0 0 0 0 0 0
  3   0.250  -0.045   0.000  -0.004  91.0  91.0  95.0  70.0  61.0  61.0   0.045  270.00 0 0 0 0 0 0
  4   0.300  -0.046   0.008  -0.004  90.0  88.0  92.0  69.0  61.0  57.0   0.047  279.87 0 0 0 0 0 0
  5   0.350  -0.054   0.014  -0.005  88.0  85.0  88.0  69.0  58.0  56.0   0.056  284.53 0 0 0 0 0 0
  6   0.400  -0.059   0.013  -0.007  87.0  84.0  86.0  65.0  59.0  55.0   0.060  282.43 0 0 0 0 0 0
  7   0.450  -0.065   0.003  -0.004  85.0  83.0  84.0  67.0  58.0  56.0   0.065  272.64 0 0 0 0 0 0
  8   0.500  -0.070   0.003  -0.003  84.0  81.0  87.0  64.0  59.0  61.0   0.070  272.45 0 0 0 0 0 0
  9   0.550  -0.074   0.004  -0.001  83.0  81.0  88.0  66.0  59.0  65.0   0.074  273.09 0 0 0 0 0 0
 10   0.600  -0.081   0.003   0.000  84.0  81.0  87.0  66.0  62.0  60.0   0.081  272.12 0 0 0 0 0 0
 11   0.650  -0.087   0.006   0.002  81.0  82.0  85.0  63.0  62.0  60.0   0.087  273.95 0 0 0 0 0 0
 12   0.700  -0.099   0.004   0.003  81.0  80.0  83.0  66.0  59.0  61.0   0.099  272.31 0 0 0 0 0 0
 13   0.750  -0.101   0.004   0.004  82.0  81.0  82.0  63.0  57.0  58.0   0.101  272.27 0 0 0 0 0 0
