Vial_No_Only,Placement_Code,T0_Weight,T0_Temp,T0_Sal,T1_Weight,T1_Temp,T1_Sal,Change,Percent_Change,Percent_Change_100,Surface.Area,Change_Over_Area,T1_Notes,T0_sw_dens,T1_sw_dens,T0_dry_weight.g,T1_dry_weight.g
27,PAC V15 C,15.0595,28.8,31.48,18.1918,28.6,31.39,4.803735288760116,0.2079937556157031,20.79937556157031,110.26944,0.04356361371527883,,1.0194896160974296,1.019487721810263,23.09557455001521,27.899309838775327
13,PAC V16 A,11.4154,29.4,31.42,11.998,28.6,31.3,0.8950507282059696,0.051132101677773024,5.113210167777303,51.60004,0.01734593089861887,,1.0192461298134134,1.0194202434550714,17.50467316689714,18.399723895103108
14,PAC V16 B,15.1778,29.3,31.42,15.5922,28.7,31.28,0.6366281251107146,0.02735310046268498,2.735310046268498,69.28008,0.009189194428047928,,1.0192794011859003,1.0193725159025286,23.27444108133924,23.911069206449955
15,PAC V16 C,15.2353,29.3,31.43,16.122,28.7,31.42,1.3621840647030545,0.05830591939959154,5.830591939959154,81.04658,0.016807421913460806,,1.0192868909862292,1.01947746612194,23.362706200849264,24.724890265552318
49,PAC V17 A,11.9892,28.8,31.43,13.0167,28.6,31.39,1.5761370944699564,0.0857223536664614,8.57223536664614,52.49476,0.030024655688871735,,1.0194521375591157,1.019487721810263,18.38653544911489,19.962672543584848
50,PAC V17 B,11.8154,29.7,31.43,12.6444,28.6,31.37,1.274389593011474,0.07034156083602698,7.034156083602698,45.60728,0.02794267917340113,,1.0191533565505855,1.0194727263332173,18.117163990463617,19.39155358347509
51,PAC V17 C,10.8592,28.9,31.41,11.3784,28.5,31.4,0.7973500562423581,0.047879806286652275,4.7879806286652276,38.80368,0.020548310269602216,,1.0194042486264858,1.0195278914228976,16.65315961114571,17.45050966738807
60,PAC V18 A,11.8583,28.7,31.34,12.714,28.5,31.38,1.3132440846930145,0.07221396591154841,7.221396591154841,37.82974,0.03471459451460714,,1.019417493583883,1.0195128935139504,18.18545856215053,19.498702646843544
59,PAC V18 B,10.5668,28.6,31.34,10.9637,28.5,31.43,0.6095633307740336,0.03761543429420004,3.761543429420004,18.84956,0.03233833207640038,,1.0194502334252409,1.0195503885940758,16.20513872062412,16.814702051398154
58,PAC V18 C,10.4454,28.5,31.36,11.1258,28.5,31.42,1.043882513649745,0.06516380674053177,6.516380674053177,32.46608,0.03215301981790672,,1.0194978957690581,1.0195428894959702,16.019360529477048,17.063243043126793
10,PAC V19 A,12.8844,29.6,31.41,14.0005,28.4,31.38,1.7155887228407778,0.0868366353302396,8.68366353302396,54.35876,0.03156048303605119,,1.0191718784318233,1.0195454877989556,19.756508486497623,21.4720972093384
11,PAC V19 B,12.8786,29.5,31.42,14.0072,28.4,31.4,1.7345037340038516,0.08783170050006411,8.783170050006412,49.73604,0.03487418246414173,,1.019212784301329,1.0195604880650606,19.748037714499056,21.482541448502907
12,PAC V19 C,14.908,29.5,31.44,16.3603,28.4,31.41,2.2314411816465167,0.09761293307709257,9.761293307709257,64.55018,0.03456909309387699,,1.0192277593658825,1.0195679882596396,22.860097645915147,25.091538827561664
37,PAC V20 A,13.5581,29,31.45,16.2775,28.4,31.4,4.172418362023734,0.20067389686963355,20.067389686963356,63.35256,0.06586029612731883,,1.0194012492319635,1.0195604880650606,20.792033379081275,24.96445174110501
38,PAC V20 B,13.901,28.9,31.48,15.2347,28.4,31.4,2.0466250650021074,0.09600227117477547,9.600227117477548,64.50824,0.03172656803227165,,1.0194567101446126,1.0195604880650606,21.318506739034905,23.365131804037013
39,PAC V20 C,13.0092,28.9,31.45,15.0247,28.4,31.4,3.092447554998852,0.1550051492901006,15.500514929010059,54.70826,0.056526154460018505,,1.0194342263901746,1.0195604880650606,19.950611764588334,23.043059319587186
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
