PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species,Surface_Area,Approximate.Dry.Weight.of.Whole.Sample,FSC.Events.per.ul,FSC.Events.per.slurry,FSC.Events_per_cm_2,FSC.Events_per_g_dry_weight
PAC V15 C,PAC 19,25,28,835,4829668.5,5.57,15,A,PA21,Pocillopora_acuta,110.26944,0.284,70.71476964769649,1767869.241192412,16032.268243970515,6224891.694339479
PAC V15 C,PAC 19,25,28,548,4589004.0,3.65,15,A,PA21,Pocillopora_acuta,110.26944,0.284,46.40921409214092,1160230.3523035229,10521.77604514472,4085318.141913813
PAC V16 A,PAC 12,25,28,342,4772058.5,2.28,16,C,PA11,Pocillopora_acuta,51.60004,0.193,28.963414634146343,724085.3658536585,14032.651250922645,3751737.6469101477
PAC V16 B,PAC 11,25,28,324,4785700.5,2.16,16,B,PA11,Pocillopora_acuta,69.28008,0.1895,27.439024390243905,685975.6097560975,9901.484088299228,3619924.062037454
PAC V16 C,PAC 10,25,28,1109,5300318.5,7.39,16,A,PA11,Pocillopora_acuta,81.04658,0.197,93.91937669376695,2347984.417344174,28970.801943082282,11918702.626112558
PAC V17 A,PAC 51,25,28,362,5079314.5,2.41,17,C,PA22,Pocillopora_acuta,52.49476,0.19,30.657181571815723,766429.539295393,14600.115121878698,4033839.6805020687
PAC V17 B,PAC 50,25,28,163,3880465.5,1.09,17,B,PA22,Pocillopora_acuta,45.60728,0.2105,13.804200542005422,345105.01355013554,7566.884355965441,1639453.7460814042
PAC V17 C,PAC 49,25,28,524,6109397.5,3.49,17,A,PA22,Pocillopora_acuta,38.80368,0.14535,44.37669376693767,1109417.3441734416,28590.518841858342,7632730.266071149
PAC V18 A,PAC 39,25,28,304,4036554.3,2.03,18,C,PA22,Pocillopora_acuta,37.82974,0.132,25.745257452574528,643631.4363143633,17013.900606093597,4875995.7296542665
PAC V18 B,PAC 38,25,28,146,4993274.0,0.97,18,B,PA22,Pocillopora_acuta,18.84956,0.0925,12.364498644986451,309112.46612466127,16398.922103468794,3341756.3905368787
PAC V18 C,PAC 37,25,28,142,5592855.5,0.95,18,A,PA22,Pocillopora_acuta,32.46608,0.119,12.025745257452575,300643.6314363144,9260.238114250762,2526417.070893398
PAC V19 A,PAC 48,25,28,586,5031448.5,3.91,19,C,PA22,Pocillopora_acuta,54.35876,0.156,49.62737127371275,1240684.2818428185,22823.99896250059,7953104.370787298
PAC V19 B,PAC 47,25,28,142,4116808.8,0.95,19,B,PA22,Pocillopora_acuta,49.73604,0.1265,12.025745257452575,300643.6314363144,6044.78425375873,2376629.4975202717
PAC V19 C,PAC 46,25,28,561,4670294.0,3.74,19,A,PA22,Pocillopora_acuta,64.55018,0.196,47.51016260162602,1187754.0650406505,18400.476420680014,6059969.719595156
PAC V20 A,PAC 54,25,28,318,3917259.3,2.12,20,C,PA11,Pocillopora_acuta,63.35256,0.2175,26.930894308943092,673272.3577235773,10627.389922736782,3095505.092981965
PAC V20 B,PAC 53,25,28,522,3943856.3,3.48,20,B,PA11,Pocillopora_acuta,64.50824,0.24,44.207317073170735,1105182.9268292685,17132.430319433122,4604928.861788618
PAC V20 C,PAC 52,25,28,513,4114731.3,3.42,20,A,PA11,Pocillopora_acuta,54.70826,0.2075,43.44512195121952,1086128.0487804879,19853.090717571493,5234352.042315604
PRU V01 A,PRU 01,45,28,756,5955939.0,5.03,1,A,PR08,Porites_rus,39.38152,0.252525,64.02439024390245,2881097.5609756103,73158.61756924594,11409157.750621168
PRU V01 B,PRU 03,45,28,495,7192382.0,3.30,1,B,PR08,Porites_rus,39.28832,0.30645,41.920731707317074,1886432.9268292685,48015.10797176536,6155760.896816017
PRU V01 C,PRU 02,45,28,933,6591855.5,6.22,1,C,PR08,Porites_rus,56.7074,0.438165,79.01422764227642,3555640.2439024393,62701.521210678664,8114843.138777491
PRU V02 A,PRU 06,45,28,156,6180437.0,1.04,2,A,PR06,Porites_rus,13.93792,0.17145,13.21138211382114,594512.1951219513,42654.29813931715,3467554.3605829766
PRU V02 B,PRU 05,45,28,439,5696005.0,2.93,2,B,PR06,Porites_rus,31.62262,0.27027,37.178184281842825,1673018.292682927,52905.74571882175,6190173.873100704
PRU V02 C,PRU 04,45,28,420,6526993.5,2.80,2,C,PR06,Porites_rus,29.87046,0.2655,35.56910569105691,1600609.7560975612,53585.03873383808,6028661.981535071
