Slurry_ID,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug/mL,SD,CV,Slurry Volume (ml),Surface area (cm^2),Chl_ug/cm^2
PRU 40,1.779580282,1.82786338,0.555743662,0.6085732394,2.335323944,2.43643662,2.385880282,0.0714974589,0.02996690968,,,
PRU 41,1.564708451,1.58053662,0.3854112676,0.3917450704,1.950119718,1.97228169,1.961200704,0.01567088057,0.007990452243,,,
PRU 42,3.248095775,3.526292958,0.7520661972,0.8795661972,4.000161972,4.405859155,4.203010563,0.2868712293,0.0682537493,,,
PRU 43,3.348242254,3.582766197,0.8414408451,0.6533535211,4.189683099,4.236119718,4.212901408,0.0328356487,0.007794070052,,,
PRU 44,0.2255225352,0.2376802817,0.1252943662,0.151728169,0.3508169014,0.3894084507,0.3701126761,0.0272883462,0.0737298341,,,
PRU 45,0.0793084507,0.07474929577,0.0922056338,0.08229295775,0.1715140845,0.1570422535,0.164278169,0.01023312983,0.06229147724,,,
PRU 46,0.4643492958,0.4452366197,0.363756338,0.2259253521,0.8281056338,0.6711619718,0.7496338028,0.1109759276,0.1480401861,,,
PRU 47,0.4151,0.4338774648,0.2165619718,0.2333197183,0.6316619718,0.6671971831,0.6494295775,0.02512718886,0.03869116796,,,
PRU 48,0.5754422535,0.6007492958,0.2603112676,0.2712084507,0.8357535211,0.8719577465,0.8538556338,0.02560025325,0.02998194571,,,
PRU 49,5.447708451,5.947783099,1.45085493,1.587414085,6.89856338,7.535197183,7.216880282,0.4501680791,0.06237710223,,,
PRU 50,7.757035211,8.159423944,1.766408451,2.047597183,9.523443662,10.20702113,9.865232394,0.4833622608,0.04899654073,,,
PRU 51,3.664650704,3.88198169,0.8394126761,0.7703915493,4.50406338,4.652373239,4.57821831,0.1048709071,0.02290648895,,,
PRU 52,2.892084507,3.051538028,0.672,0.6857366197,3.564084507,3.737274648,3.650679577,0.122463923,0.03354551404,,,
PRU 53,2.440512676,2.597943662,0.8494943662,0.6783169014,3.290007042,3.276260563,3.283133803,0.009720228429,0.002960655585,,,
PRU 54,1.552821127,1.581167606,0.3475309859,0.3650366197,1.900352113,1.946204225,1.923278169,0.0324223398,0.01685785256,,,
PRU 55,0.01662676056,0.01644647887,0.04016197183,0.04779295775,0.05678873239,0.06423943662,0.06051408451,0.005268443482,0.08706144239,,,
PRU 56,4.079750704,4.259243662,1.055974648,1.033052113,5.135725352,5.292295775,5.214010563,0.1107120075,0.02123356026,,,
PRU 57,1.773101408,2.064757746,0.2889338028,0.6583056338,2.062035211,2.72306338,2.392549296,0.4674175009,0.1953637911,,,
PRU 58,0.2257929577,0.227943662,0.1138478873,0.09044366197,0.3396408451,0.3183873239,0.3290140845,0.01502850891,0.04567740295,,,
PRU 59,2.084423944,2.250021127,0.7050760563,0.8645492958,2.7895,3.114570423,2.952035211,0.2298595001,0.07786475556,,,
PRU 60,4.687956338,5.049969014,1.146832394,1.17576338,5.834788732,6.225732394,6.030260563,0.2764389144,0.04584195186,,,
PRUS 061,1.974926761,2.106291549,0.4028197183,0.455771831,2.377746479,2.56206338,2.46990493,0.1303317309,0.05276791398,,,
PRUS 064,0.6665478873,0.6881323944,0.3942126761,0.2245225352,1.060760563,0.9126549296,0.9867077465,0.104726498,0.1061373019,,,
PRUS 065,1.486856338,1.528570423,0.6373478873,0.4271830986,2.124204225,1.955753521,2.039978873,0.1191126353,0.05838915139,,,
PRUS 078,2.692397183,2.926522535,0.6028774648,0.6345549296,3.295274648,3.561077465,3.428176056,0.1879509743,0.05482535646,,,
PRUS 079,1.343025352,1.373843662,0.7739112676,0.4838957746,2.11693662,1.857739437,1.987338028,0.1832800858,0.0922239112,,,
PRUS 080,2.98331831,3.157556338,0.5975830986,0.4589366197,3.580901408,3.616492958,3.598697183,0.02516702586,0.006993371373,,,
PA11,2.045374648,2.203153521,0.5319211268,0.4136492958,2.577295775,2.616802817,2.597049296,0.02793569748,0.01075670667,,,
PA13,1.393212676,1.499180282,0.2050901408,0.2509605634,1.598302817,1.750140845,1.674221831,0.1073656994,0.06412871782,,,
PA18,2.623211268,2.707709859,0.4203591549,0.4957690141,3.043570423,3.203478873,3.123524648,0.1130723499,0.03620024255,,,
PA19,1.141546479,1.187060563,0.2395732394,0.2743478873,1.381119718,1.461408451,1.421264085,0.05677270713,0.03994522042,,,
PA21,1.096032394,1.252330986,0.2047985915,0.3520774648,1.300830986,1.604408451,1.452619718,0.214661684,0.1477755542,,,
PA22,0.4038957746,0.4180366197,0.3526605634,0.2951535211,0.756556338,0.7131901408,0.7348732394,0.0306645321,0.04172764833,,,
PR02,0.2821253521,0.3029633803,0.1641211268,0.1612901408,0.4462464789,0.4642535211,0.45525,0.01273290169,0.02796903171,,,
PR03,0.1366323944,0.1521901408,0.1005084507,0.1182887324,0.2371408451,0.2704788732,0.2538098592,0.02357354579,0.09287876313,,,
PR04,1.376740845,1.584567606,0.2936323944,0.3563830986,1.670373239,1.940950704,1.805661972,0.1913271602,0.1059595667,,,
PR06,1.44994507,1.74904507,0.508956338,0.7661450704,1.958901408,2.515190141,2.237045775,0.393355535,0.1758370523,,,
PR07,1.521795775,1.584928169,0.3081549296,0.3411211268,1.829950704,1.926049296,1.878,0.06795196575,0.03618315535,,,
PR08,0.8128647887,0.8640197183,0.3553183099,0.3542197183,1.168183099,1.218239437,1.193211268,0.03539517606,0.02966379636,,,
