Micro_Vial,Weight..mg.,μg.N,δ15N...........vs..AIR.,μg.C,δ13C............vs..VPDB.,HS,δ15N,δ13C,Vial_No_Only,Placement_Code,Pin_Number,Cage_Uncaged,Metabolomics_Vial,Genotype,Species,CowTagID,Δ15N,Δ13C,C_N_ratio,Percent_N,Percent_C,δ15N_T0,δ13C_T0,δ15N_T1_T0,δ13C_T1_T0,Δ15N_T1T0,Δ13C_T1T0,δ15N_T1_T0_host,δ15N_T1_T0_symb,δ13C_T1_T0_host,δ13C_T1_T0_symb,Percent_N15,Percent_C13
PAC 22,8.393,68.4,6.7,409.3,-16.7,host,6.7,-16.7,22,PAC V05 A,5,A,PAC 22,PA19,Pocillopora acuta,V5,0.6000000000000005,0.1999999999999993,5.98391812865497,0.8149648516620993,4.876682950077445,5.7,-16.9,1,0.1999999999999993,0.3000000000000007,0.3999999999999986,1,0.6999999999999993,0.1999999999999993,-0.1999999999999993,9.7953216374269,-4.080136818959199
PAC 25,14.7961,73.3,6.9,393.4,-15.9,host,6.9,-15.9,25,PAC V15 A,15,A,PAC 25,PA21,Pocillopora acuta,V15,0.7000000000000002,0.29999999999999893,5.3669849931787175,0.49540081507964945,2.6588087401409832,5.6,-19.3,1.3000000000000007,3.4000000000000004,-0.1999999999999993,0.29999999999999893,1.3000000000000007,1.5,3.4000000000000004,3.1000000000000014,9.413369713506139,-4.041687849517031
PAC 28,9.6389,56.4,7.2,307.3,-15.9,host,7.2,-15.9,28,PAC V12 A,12,A,PAC 28,PA21,Pocillopora acuta,V12,0.7000000000000002,0,5.448581560283689,0.5851290084968203,3.188123126082852,5.6,-19.3,1.6000000000000005,3.4000000000000004,-0.1999999999999993,0,1.6000000000000005,1.7999999999999998,3.4000000000000004,3.4000000000000004,12.765957446808512,-5.174096973641393
PAC 31,9.1948,38.3,6.8,225.4,-16.3,host,6.8,-16.3,31,PAC V08 A,8,A,PAC 31,PA19,Pocillopora acuta,V8,0.39999999999999947,0.3000000000000007,5.885117493472586,0.41653978335580977,2.4513855657545567,5.7,-16.9,1.0999999999999996,0.5999999999999979,0.09999999999999964,0.5,1.0999999999999996,1,0.5999999999999979,0.09999999999999787,17.75456919060052,-7.231588287488909
PAC 34,16.021,42.9,6.1,312.2,-16.3,host,6.1,-16.3,34,PAC V06 A,6,A,PAC 34,PA18,Pocillopora acuta,V6,0.1999999999999993,0.3000000000000007,7.277389277389277,0.26777354721927465,1.948692341302041,5.8,-16.9,0.2999999999999998,0.5999999999999979,-0.7000000000000002,0.3999999999999986,0.2999999999999998,1,0.5999999999999979,0.1999999999999993,14.219114219114218,-5.2210121716848175
PAC 40,8.492,41.7,6.2,326.7,-16.6,host,6.2,-16.6,40,PAC V11 A,11,A,PAC 40,PA18,Pocillopora acuta,V11,0.5,-0.10000000000000142,7.834532374100719,0.4910504003768252,3.847150259067357,5.8,-16.9,0.40000000000000036,0.29999999999999716,-0.39999999999999947,-3.552713678800501e-15,0.40000000000000036,0.7999999999999998,0.29999999999999716,0.3000000000000007,14.86810551558753,-5.0811141720232635
PAC 43,9.9884,76,6.7,440.7,-16,host,6.7,-16,43,PAC V07 A,7,A,PAC 43,PA13,Pocillopora acuta,V7,0.7000000000000002,0,5.798684210526315,0.7608826238436586,4.412118056946057,5.8,-17,0.9000000000000004,1,0.20000000000000018,-0.3000000000000007,0.9000000000000004,0.7000000000000002,1,1.3000000000000007,8.81578947368421,-3.6305877013841616
PAC 46,10.7428,39.4,6.2,287.3,-16.4,host,6.2,-16.4,46,PAC V14 A,14,A,PAC 46,PA18,Pocillopora acuta,V14,0.7999999999999998,-0.09999999999999787,7.291878172588833,0.36675726998547864,2.674349331645381,5.8,-16.9,0.40000000000000036,0.5,-0.09999999999999964,0,0.40000000000000036,0.5,0.5,0.5,15.736040609137056,-5.708318830490775
PAC 49,14.887,47.7,7,289.6,-15.2,host,7,-15.2,49,PAC V17 A,17,A,PAC 49,PA22,Pocillopora acuta,V17,0.7000000000000002,-0.09999999999999964,6.071278825995807,0.32041378383824815,1.9453214213743537,6.2,-15.8,0.7999999999999998,0.6000000000000014,0.2999999999999998,-0.09999999999999964,0.7999999999999998,0.5,0.6000000000000014,0.7000000000000011,14.675052410901468,-5.248618784530386
PAC 52,14.2137,72.2,6.7,385.3,-16,host,6.7,-16,52,PAC V13 C,13,C,PAC 52,PA13,Pocillopora acuta,V13,0.6000000000000005,0.3000000000000007,5.336565096952908,0.5079606295334783,2.7107649661945876,5.8,-17,0.9000000000000004,1,0.10000000000000053,0,0.9000000000000004,0.7999999999999998,1,1,9.279778393351801,-4.152608357124318
PAC 55,10.6393,49.4,6.8,317.7,-16,host,6.8,-16,55,PAC V10 A,10,A,PAC 55,PA18,Pocillopora acuta,V10,0.5,0.10000000000000142,6.431174089068826,0.46431626140817533,2.9860987095015648,5.8,-16.9,1,0.8999999999999986,-0.39999999999999947,0.1999999999999993,1,1.3999999999999995,0.8999999999999986,0.6999999999999993,13.765182186234817,-5.036197670758578
PRU 02,9.6091,36.4,6.6,236.2,-14.7,host,6.6,-14.7,2,PRU V01 C,1,C,PRU 02,PR08,Porites rus,V1,0.39999999999999947,-0.1999999999999993,6.489010989010989,0.3788075886399351,2.458086605405293,5.9,-13.7,0.6999999999999993,-1,0.7999999999999989,-0.09999999999999964,0.6999999999999993,-0.09999999999999964,-1,-0.9000000000000004,18.13186813186813,-6.223539373412362
PRU 25,15.2571,45.7,6.4,277.4,-15.2,host,6.4,-15.2,25,PRU V07 C,7,C,PRU 25,PR04,Porites rus,V7,0.20000000000000018,-0.09999999999999964,6.070021881838073,0.29953267658991556,1.8181699012263142,5.3,-15.1,1.1000000000000005,-0.09999999999999964,1.3000000000000007,0.8000000000000007,1.1000000000000005,-0.20000000000000018,-0.09999999999999964,-0.9000000000000004,14.00437636761488,-5.479452054794521
PRU 28,15.4153,59,6.2,327.6,-14.1,host,6.2,-14.1,28,PRU V11 C,11,C,PRU 28,PR07,Porites rus,V11,0,-0.1999999999999993,5.552542372881356,0.3827366317878991,2.125161365656199,5.6,-14.6,0.6000000000000005,0.5,0.20000000000000018,1.5,0.6000000000000005,0.40000000000000036,0.5,-1,10.508474576271187,-4.304029304029303
PRU 60,13.9318,33.9,6.2,226.9,-13.6,host,6.2,-13.6,60,PRU V13 C,13,C,PRU 60,PR04,Porites rus,V13,0.20000000000000018,0.20000000000000107,6.6932153392330385,0.24332821315264358,1.6286481287414403,5.3,-15.1,0.9000000000000004,1.5,1.3000000000000007,1.1000000000000014,0.9000000000000004,-0.40000000000000036,1.5,0.3999999999999986,18.289085545722717,-5.993829881004848
PA11,25.8405,39.4,5.3,306.7,-17,symb,5.3,-17,NA,T0,T0,NA,NA,PA11,Pocillopora acuta,T0,0.2999999999999998,0.3999999999999986,7.784263959390863,0.15247382984075386,1.1868965383796755,5.3,-17,0,0,0,0,0,0,0,0,13.451776649746192,-5.542875774372351
