"","CowTagID","Parameter","value"
"281","V16","Maximum_TA",2350.500981
"282","V16","Maximum_Phosphate_umolL",0.164999397
"283","V16","Maximum_Silicate_umolL",1.469932526
"284","V16","Maximum_NN_umolL",0.156671188
"285","V16","Maximum_NNP_umolL",1.02201869825964
"286","V16","Minimum_Salinity",36.55
"287","V16","Minimum_Temperature",28.58
"288","V16","Minimum_pH",7.9516011059132
"289","V16","Mean_TA",2339.30751
"290","V16","Mean_Phosphate_umolL",0.1486758305
"291","V16","Mean_Silicate_umolL",1.0702695545
"292","V16","Mean_NN_umolL",0.12591395175
"293","V16","Mean_NNP_umolL",0.850732370701558
"294","V16","Low_Tide_Mean_TA",2344.9584885
"295","V16","Low_Tide_Mean_Phosphate_umolL",0.1836363385
"296","V16","Low_Tide_Mean_Silicate_umolL",1.200470768
"297","V16","Low_Tide_Mean_NN_umolL",0.25112055475
"298","V16","Low_Tide_Mean_NNP_umolL",1.28893942332807
"299","V16","CV_Salinity",0.00103146860240057
"300","V16","CV_Temperature",0.0119109249134523
"301","V16","CV_TA",0.0040368765585537
"302","V16","CV_pH",0.00554418795723764
"303","V16","CV_Phosphate_umolL",0.105185292974583
"304","V16","CV_Silicate_umolL",0.268131301518038
"305","V16","CV_NN_umolL",0.225832826479371
"306","V16","CV_Ammonia_umolL",0.326264299902629
"307","V16","Low_Tide_Mean_TA.1",2344.9584885
"308","V16","Low_Tide_Mean_Phosphate_umolL.1",0.1836363385
"309","V16","Low_Tide_Mean_Silicate_umolL.1",1.200470768
"310","V16","Low_Tide_Mean_NN_umolL.1",0.25112055475
"311","V16","Low_Tide_Mean_NNP_umolL.1",1.28893942332807
"312","V16","pc1",-3.44312369538868
"313","V16","pc2",-1.44860320197151
"314","V16","X._loss",41.37142857
"315","V16","lat",-17.54029797
"316","V16","lon",-149.900492
"317","V16","dist_to_seep_m",123.233668813241
"318","V16","shore_dist_m",70
"319","V16","pulse_pc1",-3.03226242405126
"320","V16","pulse_pc2",-0.300561043313707
"321","V17","Maximum_TA",2351.13
"322","V17","Maximum_Phosphate_umolL",0.152980054
"323","V17","Maximum_Silicate_umolL",2.725595881
"324","V17","Maximum_NN_umolL",0.344684654
"325","V17","Maximum_NNP_umolL",2.30989205421332
"326","V17","Minimum_Salinity",36.46
"327","V17","Minimum_Temperature",28.46
"328","V17","Minimum_pH",7.92168029503636
"329","V17","Mean_TA",2335.40666666667
"330","V17","Mean_Phosphate_umolL",0.147844376333333
"331","V17","Mean_Silicate_umolL",2.59569171566667
"332","V17","Mean_NN_umolL",0.243587608
"333","V17","Mean_NNP_umolL",1.64934041676376
"334","V17","Low_Tide_Mean_TA",2345.62927475
"335","V17","Low_Tide_Mean_Phosphate_umolL",0.20013826875
"336","V17","Low_Tide_Mean_Silicate_umolL",3.66871002475
"337","V17","Low_Tide_Mean_NN_umolL",0.48926421475
"338","V17","Low_Tide_Mean_NNP_umolL",2.27249239616314
"339","V17","CV_Salinity",0.0016041609628807
"340","V17","CV_Temperature",0.0143251673202101
"341","V17","CV_TA",0.00588329743097146
"342","V17","CV_pH",0.00677997779042524
"343","V17","CV_Phosphate_umolL",0.0402100683242198
"344","V17","CV_Silicate_umolL",0.0450076000386639
"345","V17","CV_NN_umolL",0.368088297984485
"346","V17","CV_Ammonia_umolL",0.139967169819339
"347","V17","Low_Tide_Mean_TA.1",2345.62927475
"348","V17","Low_Tide_Mean_Phosphate_umolL.1",0.20013826875
"349","V17","Low_Tide_Mean_Silicate_umolL.1",3.66871002475
"350","V17","Low_Tide_Mean_NN_umolL.1",0.48926421475
"351","V17","Low_Tide_Mean_NNP_umolL.1",2.27249239616314
"352","V17","pc1",-1.64664029259757
"353","V17","pc2",2.54584698703204
"354","V17","X._loss",28.66973039
"355","V17","lat",-17.54031901
"356","V17","lon",-149.899572
"357","V17","dist_to_seep_m",25.6506204375272
